Unnamed: 0,Date,CFA Westfranc,CFA Centfranc,Maurouguiya,Gambiadalasi,Guineafranc,SLleone,Liberiadollar,Ghanaold cedi,Ghana.1new cedi,Nigerianaira,DRCfranc,Angolakwanza,Sudanold pound,Sudan.1dinar,Sudan.2new pound,Eritreanakfa,Djiboutifranc,Ethiopiabirr,Somalishilling,Somali.1shillingM,SomaliliandshillingH,Kenyashilling,Ugandashilling,Tanzaniashilling,Rwandafranc,Burundifranc,Zambiaold kwacha,Zambia.1new kwacha,Malawikwacha,Mozold met,Moz.1new met,Zimdollar,Botswanapula,Namibiadollar,SArand,Lesotholoti,Swazililangeni
0,02-Jan,739.98,745.0065,269.3215,17.4879,"1,967.69","1,975.00",1.0,"7,326.43",0.73264323,116.449,,31.4231,"2,578.50",256.0,,,169.9098,8.4434,"2,606.92","18,500",,78.5954,"1,732.25",923.9016,,852.4747,"3,881.74",,66.4709,"22,819.76",22.8198,55,6.6264,11.5919,11.6195,6.235,11.6171
1,02-Feb,739.98,755.5487,271.5154,17.8894,"1,978.78","1,975.00",1.0,"7,435.25",0.74352536,117.6725,,31.5684,"2,578.50",256.0,,,169.9471,8.4114,"2,606.94","20,050",,78.2568,"1,734.00",952.5888,,858.3086,"3,835.00",,70.4505,"22,800.00",22.8,55,6.7189999999999985,11.5043,11.4723,6.235,11.4464
2,02-Mar,741.1142,750.0631,274.0297,17.8462,"1,977.31","1,984.68",0.9992,"7,557.14",0.75571371,117.9248,,31.5684,"2,578.50",256.0,,,170.0094,8.4105,"2,606.82","21,600",,78.0635,"1,734.00",968.5529,,865.6253,"3,932.19",,73.3788,"22,824.52",22.8245,55,6.7198,11.5342,11.5024,7.0752,11.5989
3,02-Apr,739.367,743.6975,278.3412,18.3793,"1,975.10","2,034.02",0.9937,"7,783.42",0.77834167,116.8195,,31.5684,"2,578.50",256.0,,,169.9648,8.4082,"2,606.87","21,838",,78.2632,"1,734.00",978.3025,,866.2033,"4,168.68",,75.2655,"23,093.67",23.0937,55,6.5711,11.1018,11.0741,11.1427,11.1023
4,02-May,717.8816,717.4092,279.5731,18.531,"1,975.55","2,032.15",0.9863,"7,946.23",0.79462306,116.6995,,31.5684,"2,578.50",256.0,,,167.17,8.4603,"2,606.90","22,100","6,300",78.322,"1,734.00",977.5029,,856.6826,"4,204.60",,76.2682,"23,178.61",23.1786,55,6.2444,10.196,10.1658,10.2372,10.1809
5,02-Jun,684.3133,696.8758,278.6955,18.7803,"1,983.39","2,034.84",0.9877,"7,980.66",0.79806583,117.946,,31.5684,"2,578.50",256.0,,,164.9083,8.4404,"2,606.90","22,447",,78.6259,"1,734.00",961.8952,,857.3787,"4,495.93",,76.1123,"23,484.75",23.4848,55,6.1063,10.1482,10.1466,10.0952,10.0701
6,02-Jul,658.4187,669.1966,273.9816,18.725,"1,974.42","1,980.92",0.9885,"8,154.21",0.81542113,123.5453,,31.5684,"2,578.50",256.0,,,165.9181,8.3463,"2,607.19","22,870","6,250",78.8066,"1,734.00",946.6844,,853.7121,"4,568.87",,76.0597,"23,443.81",23.4438,55,6.0557,10.086,10.0885,10.139,10.1067
7,02-Aug,668.1387,674.3655,272.0145,19.747,"1,942.31","1,930.05",0.9844,"8,273.02",0.82730226,130.6944,,31.5684,"2,578.50",256.0,,,165.0763,8.355,"2,606.90","22,467","6,250",78.5755,"1,734.00",962.4356,,861.14,"4,499.64",,75.8746,"23,406.43",23.4064,55,6.2522,10.566,10.5565,10.5538,10.5547
8,02-Sep,665.4733,672.5445,272.9087,20.7815,"1,946.24","1,956.71",0.9893,"8,308.76",0.83087567,129.1407,,31.5684,"2,578.50",256.0,,,164.9275,8.448,"2,606.90","21,184","6,250",78.798,"1,734.00",972.1442,,994.0243,"4,499.63",,78.6905,"23,496.92",23.4969,55,6.2417,10.5747,10.5814,10.5907,10.5813
9,02-Oct,666.2658,674.2513,272.6166,22.7162,"1,971.08","1,984.95",0.985,"8,247.33",0.82473274,128.185,,31.5684,"2,578.50",256.0,,,165.5315,8.4876,"2,606.90","18,500","6,250",79.2831,"1,734.00",976.1853,,"1,030.37","4,563.98",,80.4805,"23,525.26",23.5253,55,6.1610000000000005,10.3312,10.3396,10.366,10.3616
10,02-Nov,652.5213,664.345,272.0572,22.8161,"1,971.16","1,891.47",0.9913,"8,263.19",0.8263185,128.5028,,31.5684,"2,578.50",256.0,,,175.0037,8.5121,"2,606.90","18,800","6,238",79.5628,"1,734.00",982.9867,,"1,029.97","4,829.28",,81.0364,"23,385.05",23.385,55,5.8736,9.6803,9.6674,9.7756,9.7692
11,02-Dec,641.2639,655.5268,265.9911,22.9956,"1,970.69","1,944.35",0.9952,"8,304.12",0.83041226,129.1394,,41.6626,"2,578.50",256.0,,,174.9719,8.421,"2,606.90","18,720","6,150",79.5971,"1,734.00",979.9223,,"1,033.60","4,817.05",,84.3963,"23,357.32",23.3573,55,5.5708,8.9764,8.9557,8.9755,8.9466
12,03-Jan,620.1732,625.0521,264.9466,23.6707,"1,976.94","1,970.00",0.995,"8,361.83",0.83618323,128.6265,,57.6452,"2,578.50",256.0,,,174.9887,8.3495,"2,606.90","20,100","6,325",77.6164,"1,734.00",989.3456,,"1,035.95","4,608.71",,86.3911,"23,423.60",23.4236,55,5.3981,8.6797,8.6732,8.7061,8.6672
13,03-Feb,601.9332,611.1382,267.6998,23.8214,"1,972.81","2,036.76",0.995,"8,506.96",0.85069571,129.2555,,57.6452,"2,578.50",256.0,,,174.9795,8.4355,"2,606.90","20,450",,76.8798,"1,734.00","1,021.31",,"1,040.08","5,120.18",,88.1363,"23,264.82",23.2648,55,5.3149,8.3324,8.3052,8.467,8.4141
14,03-Mar,604.9977,597.5623,267.879,25.1858,"1,971.85","2,063.55",0.995,"8,325.24",0.83252387,128.7526,,57.6452,"2,578.50",257.1381,,,175.0271,8.4013,"2,606.90","20,310",,76.5521,"1,734.00","1,034.11",,"1,042.90","4,969.24",,88.5016,"23,269.98",23.27,55,5.1629,8.0757,8.06,8.0555,8.0479
15,03-Apr,602.559,597.1218,267.7975,25.3587,"1,972.27","2,100.86",0.995,"8,432.77",0.8432765,129.1607,,57.6452,"2,578.50",261.88,,,174.982,8.4288,"2,618.69","20,875","7,500",75.6327,"1,734.00","1,039.55",,"1,044.70","4,884.41",,88.9986,"23,412.72",23.4127,207,5.0138,7.6933,7.6582,7.7757,7.6962
16,03-May,568.7984,574.4647,267.7544,24.8284,"1,973.49","2,100.34",0.995,"8,485.46",0.84854613,129.7137,,57.6452,"2,578.50",258.2752,,,175.0385,8.5297,"2,619.58","19,338","7,650",71.7021,"1,734.00","1,040.82",,"1,052.70","4,849.41",,89.5642,"23,377.92",23.3779,812,4.9135,7.6439,7.6216,7.7052,7.5612
17,03-Jun,561.773,553.9537,262.5438,25.4483,"1,982.68","2,102.61",0.995,"8,508.92",0.850892,130.1895,,57.6452,"2,578.50",257.41,,,174.9825,8.4435,"2,619.56","17,250","7,632",73.3917,"1,734.00","1,040.71",,"1,052.77","4,859.90",,88.9808,"23,439.75",23.4398,813,5.091,7.9171,7.8649,7.9426,7.9276
18,03-Jul,574.9577,566.3258,263.5253,25.1988,"1,992.80","2,112.72",0.995,"8,527.33",0.85273274,128.6581,,57.6452,"2,578.50",257.41,,,174.9935,8.5047,"2,618.73","17,950","7,888",74.7526,"1,800.96","1,041.66",,"1,051.47","4,810.74",,88.4037,"23,387.16",23.3872,813,4.9194,7.5568,7.5456,7.7042,7.5719
19,03-Aug,584.7687,565.7165,265.9961,28.0434,"2,000.87","2,141.30",0.995,"8,549.29",0.85492887,128.3237,,57.6452,"2,578.50",259.4074,,,174.97400000000005,8.5486,"2,620.00","19,125","7,813",75.9449,"1,997.94","1,042.74",,"1,052.17","4,818.23",,99.386,"23,398.03",23.398000000000003,819,4.8393,7.3933,7.383999999999999,7.6607,7.3847
20,03-Sep,583.9103,586.6990000000002,265.3345,28.5566,"1,995.72","2,125.50",0.995,"8,530.41",0.85304067,130.5818,,57.6452,"2,578.50",259.78700000000003,,,174.9922,8.5497,"2,615.20","19,300","7,763",77.9199,"1,994.18","1,044.45",,"1,081.20","4,809.45",,106.5263,"23,134.30",23.1343,814,4.8046,7.3338,7.3306,7.5716,7.3435
21,03-Oct,557.5455,563.5853,261.2895,29.7499,"1,994.63","2,176.51",0.995,"8,594.98",0.8594978999999999,131.9566,,57.6452,"2,578.50",259.3361,,,174.9992,8.5499,"2,618.31","19,613","7,550",77.7183,"1,989.88","1,043.87",,"1,058.26","4,836.67",,106.4398,"23,230.02",23.23,816,4.6308,6.9936,6.9754,7.3356,6.9717
22,03-Nov,561.0459999999998,560.6912,258.1747,31.4822,"1,998.12","2,190.01",0.995,"8,661.50",0.86614983,138.2657,,57.6452,"2,578.50",259.116,,,175.0053,8.5506,"2,620.00","19,500","7,663",76.7997,"1,973.79","1,046.43",,"1,041.69","4,836.59",,105.89,"23,175.83",23.1758,813,4.5392,6.7525,6.7215,7.0124,6.7641
23,03-Dec,532.5726,534.7345,256.9584,29.9955,"2,004.68","2,203.17",0.995,"8,627.09",0.86270871,138.1381,,57.6452,"2,578.50",258.5361,,,174.9755,8.5488,"2,619.15","18,967","7,350",75.9935,"1,939.61","1,055.81",,"1,061.27","4,727.42",,105.2831,"23,199.63",23.1996,814,4.3589,6.5483,6.542000000000002,6.5231,6.4897
24,04-Jan,518.25,519.5844,255.5503,29.8302,"2,004.62","2,450.00",0.995,"8,622.78",0.86227806,137.3952,,57.6452,"2,578.50",258.5,,,175.0063,8.5565,"2,620.00","17,975","7,688",76.268,"1,936.60","1,074.88",,"1,063.88","4,713.23",,106.16,"23,208.21",23.2082,818,4.4326,6.9339,6.9096,6.9102,6.915
25,04-Feb,519.4507,519.4272,255.4436,29.7491,"2,006.37","2,450.00",0.995,"8,729.28",0.87292845,135.7405,,57.6452,"2,578.50",258.5,,,174.9669,8.5998,"2,620.00","17,025","7,600",76.4091,"1,877.08","1,107.05",,"1,068.02","4,758.36",,106.1831,"23,161.29",23.1613,"1,022",4.688,6.7849,6.7599,6.7874,6.7495
26,04-Mar,534.9935,534.8769,255.4398,29.074,"2,010.16","2,450.00",0.995,"8,755.48",0.87554806,134.4203,,57.6452,"2,578.50",258.5,,,175.0039,8.5686,"2,620.00","17,100","7,600",77.2919,"1,920.28","1,108.35",,"1,068.81","4,709.84",,106.2487,"23,278.79",23.2788,"4,076",4.8323,6.6745,6.6315,6.659,6.6191
27,04-Apr,545.7043,545.3213,254.1228,28.9991,"2,012.36","2,576.67",0.995,"8,835.20",0.8835200000000001,131.641,,57.6452,"2,578.50",258.5,,,174.9987,8.5721,"2,620.00","18,050","7,575",77.8982,"1,912.03","1,108.96",,"1,068.74","4,729.58",,107.5318,"23,319.30",23.3193,"4,471",4.7810000000000015,6.5193,6.5141,6.5348,6.5125
28,04-May,551.8877,546.154,254.3326,29.2331,"2,011.81","2,566.13",0.995,"8,827.58",0.88275758,130.665,,57.6452,"2,578.50",258.5,,,174.9389,8.5396,"2,620.00","17,500","7,200",79.2065,"1,858.70","1,113.76",,"1,072.45","4,735.73",,107.145,"23,147.34",23.1473,"5,198",4.9996,6.7741,6.8127,6.8882,6.7943
